0
[  33.04737803 -117.25960413]
[  32.58375778 -117.09449274]
[  32.77774757 -117.13766786]
[  32.79478651 -117.19373449]
[  32.74623954 -117.04282169]
[  32.755226   -117.11577858]
[  33.12823194 -117.33248974]
[  32.7541792  -117.24842291]
[  32.78238567 -117.012156  ]
[  32.6616387  -116.96367868]
[  32.81333484 -116.95322231]
[  33.05192251 -117.26021565]
[  32.74849382 -117.12379894]
[  32.82164948 -117.14418782]
[  33.22584 -117.32606]
[  32.81998034 -117.1513072 ]
[  32.67270919 -117.1045107 ]
[  32.6315286  -117.02417068]
[  32.66736859 -117.1127164 ]
[  32.72522315 -117.19794884]
[  33.01325 -117.07813]
[  32.80029161 -117.22928453]
[  32.73465627 -117.22067289]
[  33.21841 -117.34387]
[  32.92183202 -117.1680477 ]
[  32.66998023 -117.1136963 ]
[  33.09198262 -117.07990291]
[  33.20166 -117.38421]
[  33.14716 -117.06917]
[  32.7068876  -117.14774212]
[  32.6473048  -116.95078133]
[  33.1023218  -117.26821388]
[  32.69678794 -117.08815091]
[  32.64135385 -117.00574973]
[  32.87521515 -117.19918541]
[  32.62201264 -117.08040292]
[  33.13208352 -117.19816372]
[  32.5643411  -116.96239245]
[  32.89665018 -117.10157173]
[  32.63047402 -117.13973625]
[  32.74983754 -117.14915021]
[  32.74676733 -117.04281433]
[  32.66982296 -117.04923829]
[  32.68110813 -117.09761961]
[  33.08625 -116.99078]
[  33.15861511 -117.031311  ]
[  32.61589481 -117.07490606]
[  32.749609   -117.09982857]
[  32.55039562 -117.03724206]
[  33.1678087  -117.29524345]
[  33.00045117 -117.06177755]
[  33.23269 -117.30802]
[  32.58392641 -117.12529482]
[  33.14391 -117.07802]
[  32.72769841 -117.08140492]
[  32.66941978 -117.11273952]
[  33.044364   -117.26838237]
[  33.1934182 -117.3815653]
[  33.13300315 -117.33582958]
[  32.75516502 -117.10719092]
[  32.78823818 -117.11422886]
[  33.14457363 -117.17363255]
[  33.18321 -117.32699]
[  32.77513693 -117.20687171]
[  33.18276529 -117.15594702]
[  32.66165546 -117.10283792]
[  32.66054928 -117.10645146]
[  33.16080672 -117.18474737]
[  32.80769888 -116.95099688]
[  33.12103469 -117.08274244]
[  33.14891 -117.11523]
[  32.83779044 -117.27813961]
[  33.21955633 -117.22614619]
[  32.76330458 -117.11410787]
[  33.19363854 -117.2543769 ]
[  33.22179719 -117.24535687]
[  32.73622442 -117.2128863 ]
[  33.22487654 -117.22369235]
[  32.81332673 -116.95069343]
[  33.2058609  -117.24497559]
[  32.97822169 -117.03649385]
[  32.82029875 -117.17613313]
[  33.13045 -117.06714]
[  32.87871312 -117.16496259]
[  32.79058616 -117.0996058 ]
